date,name,category,value
1950-01-01,Bangladesh 🇧🇩,Asia,39728540
1950-01-01,Brazil 🇧🇷,Americas,53955360
1950-01-01,China 🇨🇳,Asia,543979200
1950-01-01,France 🇫🇷,Europe,41842356
1950-01-01,Germany 🇩🇪,Europe,70964104
1950-01-01,India 🇮🇳,Asia,357021120
1950-01-01,Indonesia 🇮🇩,Asia,69567624
1950-01-01,Italy 🇮🇹,Europe,46391944
1950-01-01,Japan 🇯🇵,Asia,84353060
1950-01-01,Russia 🇷🇺,Europe,102580110
1950-01-01,United Kingdom 🇬🇧,Europe,50055068
1950-01-01,United States 🇺🇸,Europe,148281550
1951-01-01,Bangladesh 🇧🇩,Asia,40548596
1951-01-01,Brazil 🇧🇷,Americas,55591060
1951-01-01,China 🇨🇳,Asia,553614000
1951-01-01,France 🇫🇷,Europe,42196660
1951-01-01,Germany 🇩🇪,Europe,70820040
1951-01-01,India 🇮🇳,Asia,364922370
1951-01-01,Indonesia 🇮🇩,Asia,71019350
1951-01-01,Italy 🇮🇹,Europe,46750764
1951-01-01,Japan 🇯🇵,Asia,85683470
1951-01-01,Russia 🇷🇺,Europe,104151680
1951-01-01,United Kingdom 🇬🇧,Europe,50271908
1951-01-01,United States 🇺🇸,Europe,150598450
1952-01-01,Bangladesh 🇧🇩,Asia,41426890
1952-01-01,Brazil 🇧🇷,Americas,57283340
1952-01-01,China 🇨🇳,Asia,564954500
1952-01-01,France 🇫🇷,Europe,42542396
1952-01-01,Germany 🇩🇪,Europe,70808376
1952-01-01,India 🇮🇳,Asia,372997200
1952-01-01,Indonesia 🇮🇩,Asia,72570830
1952-01-01,Italy 🇮🇹,Europe,47016490
1952-01-01,Japan 🇯🇵,Asia,86921760
1952-01-01,Russia 🇷🇺,Europe,105790050
1952-01-01,United Kingdom 🇬🇧,Europe,50484812
1952-01-01,United States 🇺🇸,Europe,152941730
1953-01-01,Bangladesh 🇧🇩,Asia,42329284
1953-01-01,Brazil 🇧🇷,Americas,59025680
1953-01-01,China 🇨🇳,Asia,577378700
1953-01-01,France 🇫🇷,Europe,42883300
1953-01-01,Germany 🇩🇪,Europe,70879450
1953-01-01,India 🇮🇳,Asia,381227700
1953-01-01,Indonesia 🇮🇩,Asia,74207990
1953-01-01,Italy 🇮🇹,Europe,47412148
1953-01-01,Japan 🇯🇵,Asia,88057140
1953-01-01,Russia 🇷🇺,Europe,107493130
1953-01-01,United Kingdom 🇬🇧,Europe,50728620
1953-01-01,United States 🇺🇸,Europe,155451200
1954-01-01,Bangladesh 🇧🇩,Asia,43282036
1954-01-01,Brazil 🇧🇷,Americas,60827596
1954-01-01,China 🇨🇳,Asia,589936000
1954-01-01,France 🇫🇷,Europe,43225644
1954-01-01,Germany 🇩🇪,Europe,71020740
1954-01-01,India 🇮🇳,Asia,389731400
1954-01-01,Indonesia 🇮🇩,Asia,75925330
1954-01-01,Italy 🇮🇹,Europe,47833770
1954-01-01,Japan 🇯🇵,Asia,89093016
1954-01-01,Russia 🇷🇺,Europe,109221070
1954-01-01,United Kingdom 🇬🇧,Europe,50969936
1954-01-01,United States 🇺🇸,Europe,158205870
1955-01-01,Bangladesh 🇧🇩,Asia,44315550
1955-01-01,Brazil 🇧🇷,Americas,62701036
1955-01-01,China 🇨🇳,Asia,603320100
1955-01-01,France 🇫🇷,Europe,43593852
1955-01-01,Germany 🇩🇪,Europe,71222630
1955-01-01,India 🇮🇳,Asia,398578000
1955-01-01,Indonesia 🇮🇩,Asia,77741510
1955-01-01,Italy 🇮🇹,Europe,48130730
1955-01-01,Japan 🇯🇵,Asia,90090280
1955-01-01,Russia 🇷🇺,Europe,110971860
1955-01-01,United Kingdom 🇬🇧,Europe,51193270
1955-01-01,United States 🇺🇸,Europe,161136450
1956-01-01,Bangladesh 🇧🇩,Asia,45407670
1956-01-01,Brazil 🇧🇷,Americas,64644890
1956-01-01,China 🇨🇳,Asia,616283000
1956-01-01,France 🇫🇷,Europe,43959224
1956-01-01,Germany 🇩🇪,Europe,71473270
1956-01-01,India 🇮🇳,Asia,407656600
1956-01-01,Indonesia 🇮🇩,Asia,79661840
1956-01-01,Italy 🇮🇹,Europe,48403440
1956-01-01,Japan 🇯🇵,Asia,91021560
1956-01-01,Russia 🇷🇺,Europe,112783336
1956-01-01,United Kingdom 🇬🇧,Europe,51421616
1956-01-01,United States 🇺🇸,Europe,164063410
1957-01-01,Bangladesh 🇧🇩,Asia,46560516
1957-01-01,Brazil 🇧🇷,Americas,66660892
1957-01-01,China 🇨🇳,Asia,630003000
1957-01-01,France 🇫🇷,Europe,71771630
1957-01-01,Germany 🇩🇪,Europe,416935400
1957-01-01,India 🇮🇳,Asia,81690984
1957-01-01,Indonesia 🇮🇩,Asia,81690984
1957-01-01,Italy 🇮🇹,Europe,48660256
1957-01-01,Japan 🇯🇵,Asia,91837660
1957-01-01,Russia 🇷🇺,Europe,114590990
1957-01-01,United Kingdom 🇬🇧,Europe,51682404
1957-01-01,United States 🇺🇸,Europe,166949120
1958-01-01,Bangladesh 🇧🇩,Asia,47742790
1958-01-01,Brazil 🇧🇷,Americas,68735930
1958-01-01,China 🇨🇳,Asia,643791550
1958-01-01,France 🇫🇷,Europe,44754360
1958-01-01,Germany 🇩🇪,Europe,72136480
1958-01-01,India 🇮🇳,Asia,426295780
1958-01-01,Indonesia 🇮🇩,Asia,83818760
1958-01-01,Italy 🇮🇹,Europe,48930470
1958-01-01,Japan 🇯🇵,Asia,92671300
1958-01-01,Russia 🇷🇺,Europe,116373656
1958-01-01,United Kingdom 🇬🇧,Europe,51960820
1958-01-01,United States 🇺🇸,Europe,170147100
1959-01-01,Bangladesh 🇧🇩,Asia,49004964
1959-01-01,Brazil 🇧🇷,Americas,70880824
1959-01-01,China 🇨🇳,Asia,45201850
1959-01-01,France 🇫🇷,Europe,72578950
1959-01-01,Germany 🇩🇪,Europe,72136480
1959-01-01,India 🇮🇳,Asia,435900350
1959-01-01,Indonesia 🇮🇩,Asia,86047670
1959-01-01,Italy 🇮🇹,Europe,49224670
1959-01-01,Japan 🇯🇵,Asia,93575980
1959-01-01,Russia 🇷🇺,Europe,118076840
1959-01-01,United Kingdom 🇬🇧,Europe,52241650
1959-01-01,United States 🇺🇸,Europe,173324600
1960-01-01,Bangladesh 🇧🇩,Asia,50396428
1960-01-01,Brazil 🇧🇷,Americas,73092520
1960-01-01,China 🇨🇳,Asia,654170700
1960-01-01,France 🇫🇷,Europe,35659572
1960-01-01,Germany 🇩🇪,Europe,73063700
1960-01-01,India 🇮🇳,Asia,445954560
1960-01-01,Indonesia 🇮🇩,Asia,88382890
1960-01-01,Italy 🇮🇹,Europe,49517708
1960-01-01,Japan 🇯🇵,Asia,94464840
1960-01-01,Russia 🇷🇺,Europe,119735100
1960-01-01,United Kingdom 🇬🇧,Europe,52543024
1960-01-01,United States 🇺🇸,Europe,176188580
1961-01-01,Bangladesh 🇧🇩,Asia,51882776
1961-01-01,Brazil 🇧🇷,Americas,75330010
1961-01-01,China 🇨🇳,Asia,655260350
1961-01-01,France 🇫🇷,Europe,46143028
1961-01-01,Germany 🇩🇪,Europe,73604350
1961-01-01,India 🇮🇳,Asia,456351870
1961-01-01,Indonesia 🇮🇩,Asia,90816940
1961-01-01,Italy 🇮🇹,Europe,49812724
1961-01-01,Japan 🇯🇵,Asia,95355464
1961-01-01,Russia 🇷🇺,Europe,121408984
1961-01-01,United Kingdom 🇬🇧,Europe,52861256
1961-01-01,United States 🇺🇸,Europe,179087280
1962-01-01,Bangladesh 🇧🇩,Asia,53461664
1962-01-01,Brazil 🇧🇷,Americas,77599224
1962-01-01,China 🇨🇳,Asia,664614660
1962-01-01,France 🇫🇷,Europe,46635188
1962-01-01,Germany 🇩🇪,Europe,74194424
1962-01-01,India 🇮🇳,Asia,467024200
1962-01-01,Indonesia 🇮🇩,Asia,93345496
1962-01-01,Italy 🇮🇹,Europe,50162244
1962-01-01,Japan 🇯🇵,Asia,96267890
1962-01-01,Russia 🇷🇺,Europe,122914610
1962-01-01,United Kingdom 🇬🇧,Europe,53183636
1962-01-01,United States 🇺🇸,Europe,181917810
1963-01-01,Bangladesh 🇧🇩,Asia,55094120
1963-01-01,Brazil 🇧🇷,Americas,79915560
1963-01-01,China 🇨🇳,Asia,683903550
1963-01-01,France 🇫🇷,Europe,47121244
1963-01-01,Germany 🇩🇪,Europe,74796216
1963-01-01,India 🇮🇳,Asia,477933630
1963-01-01,Indonesia 🇮🇩,Asia,95962536
1963-01-01,Italy 🇮🇹,Europe,50555130
1963-01-01,Japan 🇯🇵,Asia,97246710
1963-01-01,Russia 🇷🇺,Europe,124227720
1963-01-01,United Kingdom 🇬🇧,Europe,53508520
1963-01-01,United States 🇺🇸,Europe,184649870
1964-01-01,Bangladesh 🇧🇩,Asia,56774476
1964-01-01,Brazil 🇧🇷,Americas,82262800
1964-01-01,China 🇨🇳,Asia,704593800
1964-01-01,France 🇫🇷,Europe,47641948
